candidate_key,gold_multiplier,C,pca_components,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128,train_oof,all,1623,1247,376,0.5451205938234057,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128,train_oof,weak_all,1561,1191,370,0.5451205938234057,0.6976297245355542,0.6453491274649965,0.6255179171901747,0.8407582938388626,0.39920948616600793,0.744752308984047,0.5459459459459459,0.6793723194226973,0.3797753018977765,887,304,168,202
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128,train_oof,gold_all,62,56,6,0.5451205938234057,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619048,0.5892242862057103,44,12,1,5
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128,train_oof,gold_3_of_4,31,28,3,0.5451205938234057,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128,train_oof,gold_4_of_4,31,28,3,0.5451205938234057,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128,train_oof,all,1623,1247,376,0.5614473546775012,0.7104128157732594,0.6387862785579006,0.6254492782087794,0.8381201044386423,0.4008438818565401,0.7722534081796311,0.5053191489361702,0.6842741729085977,0.3807751852235649,963,284,186,190
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128,train_oof,weak_all,1561,1191,370,0.5614473546775012,0.7072389493914157,0.6367417795629382,0.6247155947955096,0.8330308529945554,0.40522875816993464,0.7707808564231738,0.5027027027027027,0.6801869879955522,0.3810829596452947,918,273,184,186
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128,train_oof,gold_all,62,56,6,0.5614473546775012,0.7903225806451613,0.7351190476190477,0.6273693943596856,0.9574468085106383,0.26666666666666666,0.8035714285714286,0.6666666666666666,0.8482142857142857,0.5906862745098038,45,11,2,4
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128,train_oof,gold_3_of_4,31,28,3,0.5614473546775012,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7738095238095237,0.5,24,4,2,1
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128,train_oof,gold_4_of_4,31,28,3,0.5614473546775012,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca128__gold2,2.0,0.001,128,train_oof,all,1623,1247,376,0.5604840898685446,0.7104128157732594,0.6415727533313996,0.6271409298869902,0.8398950131233596,0.40208333333333335,0.7698476343223737,0.5132978723404256,0.6848073674691599,0.38160217858626294,960,287,183,193
logistic_regression__C0.001__pca128__gold2,2.0,0.001,128,train_oof,weak_all,1561,1191,370,0.5604840898685446,0.7072389493914157,0.6395363877731636,0.6264347561981416,0.8348540145985401,0.4064516129032258,0.7682619647355163,0.5108108108108108,0.6805931876460842,0.381769708599618,915,276,181,189
logistic_regression__C0.001__pca128__gold2,2.0,0.001,128,train_oof,gold_all,62,56,6,0.5604840898685446,0.7903225806451613,0.7351190476190477,0.6273693943596856,0.9574468085106383,0.26666666666666666,0.8035714285714286,0.6666666666666666,0.8482142857142857,0.5906862745098038,45,11,2,4
