candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.15,0.5491775672741122,0.550531914893617,0.04263539999919885,0.7017868145409735,0.6489628299407941,0.6274458099202088,0.846503178928247,0.39655172413793105,0.7473937449879712,0.550531914893617,0.681584739545121,0.3800870503012491,932,315,169,207,0.6457178065311152,0.646841781978877,0.5978395443452764,0.8589743589743589,0.3551673944687045,0.644747393744988,0.648936170212766,0.681584739545121,0.3800870503012491,804,443,132,244
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.5,0.5640239371326332,0.550531914893617,0.04331330000240996,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6820347557542358,0.37954725023587865,930,317,169,207,0.6290819470117067,0.6471616987152145,0.5886205247220266,0.864406779661017,0.34688346883468835,0.6134723336006416,0.6808510638297872,0.6820347557542358,0.37954725023587865,765,482,120,256
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.3,0.5563820789177931,0.550531914893617,0.04481059999852732,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6816551212271152,0.3796818108597385,930,317,169,207,0.6420209488601355,0.6500089576686174,0.5970872064827495,0.8627450980392157,0.3546099290780142,0.6351242983159583,0.6648936170212766,0.6816551212271152,0.3796818108597385,792,455,126,250
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.0,0.537177097720746,0.550531914893617,0.052027300003828714,0.6993222427603204,0.6473589807026224,0.6253944590330173,0.845943482224248,0.3935361216730038,0.7441860465116279,0.550531914893617,0.6813821256121073,0.38041776885899325,928,319,169,207,0.6549599507085644,0.6454256172260233,0.6022142391966555,0.8552223371251293,0.3597560975609756,0.6631916599839615,0.6276595744680851,0.6813821256121073,0.38041776885899325,827,420,140,236
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.5,0.5317242470662318,0.550531914893617,0.04490079999959562,0.685150955021565,0.6567133460731287,0.6232208853039186,0.8558994197292069,0.3853989813242784,0.7097032878909383,0.6037234042553191,0.6815207561978536,0.3799166923646914,885,362,149,227,0.6395563770794824,0.6456186336569469,0.5939364286865969,0.8597826086956522,0.35135135135135137,0.6343223736968725,0.6569148936170213,0.6815207561978536,0.3799166923646914,791,456,129,247
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.5,0.5472172519451322,0.550531914893617,0.054166199999599485,0.6869993838570548,0.6542009333037588,0.6229323762169756,0.8535885167464115,0.38581314878892736,0.7153167602245389,0.5930851063829787,0.6800704669931239,0.37870811560553297,892,355,153,223,0.6303142329020333,0.6442483236363016,0.5882048471562538,0.8614525139664805,0.34615384615384615,0.6182838813151563,0.6702127659574468,0.6800704669931239,0.37870811560553297,771,476,124,252
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.15,0.5429538523838762,0.550531914893617,0.046741099999053404,0.696241528034504,0.6453541691549078,0.6228379998237074,0.8452380952380952,0.3898305084745763,0.7401764234161988,0.550531914893617,0.6799510314115579,0.38003472899664137,923,324,169,207,0.6451016635859519,0.6436543448958352,0.5961612231003963,0.8565356004250797,0.3533724340175953,0.6463512429831596,0.6409574468085106,0.6799510314115579,0.38003472899664137,806,441,135,241
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.3,0.5259696858176064,0.550531914893617,0.04154470000139554,0.6826863832409119,0.657895971608456,0.6225112624055821,0.857421875,0.38397328881469117,0.7040898155573376,0.6117021276595744,0.6814759678547664,0.3799231102587008,878,369,146,230,0.6414048059149723,0.6449638707365764,0.5946901303052355,0.8586839266450917,0.35201149425287354,0.6383319967923016,0.651595744680851,0.6814759678547664,0.3799231102587008,796,451,131,245
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.5,0.5353228786983786,0.550531914893617,0.04117760000008275,0.6869993838570548,0.6532721083792592,0.6224696504582652,0.8529130850047756,0.3854166666666667,0.7161186848436247,0.5904255319148937,0.6801792386834785,0.37864612754677573,893,354,154,222,0.6401725200246458,0.6478772458154891,0.5951940850277264,0.861504907306434,0.3526912181303116,0.6335204490777867,0.6622340425531915,0.6801792386834785,0.37864612754677573,790,457,127,249
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.3,0.5362837612717646,0.550531914893617,0.04994040000201494,0.685150955021565,0.6548556962241294,0.6223149208633421,0.8545279383429673,0.38461538461538464,0.7113071371291099,0.598404255319149,0.6798870480642905,0.37907739162274945,887,360,151,225,0.636475662353666,0.6426849971847327,0.5910351201478743,0.8582333696837514,0.34844192634560905,0.6311146752205292,0.6542553191489362,0.6798870480642905,0.37907739162274945,787,460,130,246
