candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,0.001,64,False,1.0,1.0,train_oof,all,1623,1247,376,0.537177097720746,0.6993222427603204,0.6473589807026224,0.6253944590330173,0.845943482224248,0.3935361216730038,0.7441860465116279,0.550531914893617,0.6813821256121073,0.38041776885899325,928,319,169,207
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,0.001,64,False,1.0,1.0,train_oof,weak_all,1561,1191,370,0.537177097720746,0.6957078795643818,0.6440896816211678,0.6239216229280121,0.8403041825095057,0.3968565815324165,0.7422334172963896,0.5459459459459459,0.6771779336011075,0.3814310190891262,884,307,168,202
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,0.001,64,False,1.0,1.0,train_oof,gold_all,62,56,6,0.537177097720746,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095238,0.5374034462269757,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,0.001,64,False,1.0,1.0,train_oof,gold_3_of_4,31,28,3,0.537177097720746,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.7380952380952381,0.47857142857142854,23,5,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,0.001,64,False,1.0,1.0,train_oof,gold_4_of_4,31,28,3,0.537177097720746,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9523809523809524,0.8095238095238095,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.001,64,False,1.0,1.15,train_oof,all,1623,1247,376,0.5491775672741122,0.7017868145409735,0.6489628299407941,0.6274458099202088,0.846503178928247,0.39655172413793105,0.7473937449879712,0.550531914893617,0.681584739545121,0.3800870503012491,932,315,169,207
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.001,64,False,1.0,1.15,train_oof,weak_all,1561,1191,370,0.5491775672741122,0.6982703395259449,0.6457689427462727,0.6260507343124165,0.8409090909090909,0.4,0.7455919395465995,0.5459459459459459,0.6774684003903148,0.3811828612100115,888,303,168,202
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.001,64,False,1.0,1.15,train_oof,gold_all,62,56,6,0.5491775672741122,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095238,0.5374034462269757,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.001,64,False,1.0,1.15,train_oof,gold_3_of_4,31,28,3,0.5491775672741122,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.7380952380952381,0.47857142857142854,23,5,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.001,64,False,1.0,1.15,train_oof,gold_4_of_4,31,28,3,0.5491775672741122,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9523809523809524,0.8095238095238095,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,0.001,64,False,1.0,1.3,train_oof,all,1623,1247,376,0.5563820789177931,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6816551212271152,0.3796818108597385,930,317,169,207
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,0.001,64,False,1.0,1.3,train_oof,weak_all,1561,1191,370,0.5563820789177931,0.6969891095451634,0.6449293121837203,0.6249854611667127,0.8406072106261859,0.398422090729783,0.7439126784214946,0.5459459459459459,0.6776136337849185,0.3808345247980919,886,305,168,202
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,0.001,64,False,1.0,1.3,train_oof,gold_all,62,56,6,0.5563820789177931,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8333333333333334,0.5348069105691057,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,0.001,64,False,1.0,1.3,train_oof,gold_3_of_4,31,28,3,0.5563820789177931,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.738095238095238,0.49206349206349204,23,5,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,0.001,64,False,1.0,1.3,train_oof,gold_4_of_4,31,28,3,0.5563820789177931,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,0.001,64,False,1.0,1.5,train_oof,all,1623,1247,376,0.5640239371326332,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6820347557542358,0.37954725023587865,930,317,169,207
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,0.001,64,False,1.0,1.5,train_oof,weak_all,1561,1191,370,0.5640239371326332,0.6969891095451634,0.6449293121837203,0.6249854611667127,0.8406072106261859,0.398422090729783,0.7439126784214946,0.5459459459459459,0.6780901808609617,0.38078603698383845,886,305,168,202
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,0.001,64,False,1.0,1.5,train_oof,gold_all,62,56,6,0.5640239371326332,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095238,0.5382791327913279,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,0.001,64,False,1.0,1.5,train_oof,gold_3_of_4,31,28,3,0.5640239371326332,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.738095238095238,0.49206349206349204,23,5,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,0.001,64,False,1.0,1.5,train_oof,gold_4_of_4,31,28,3,0.5640239371326332,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,0.001,64,False,1.5,1.0,train_oof,all,1623,1247,376,0.5329474037263893,0.6937769562538509,0.6456079697657356,0.6218086939398415,0.8459409594095941,0.3877551020408163,0.7353648757016841,0.5558510638297872,0.6798870480642906,0.38036739622675275,917,330,167,209
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,0.001,64,False,1.5,1.0,train_oof,weak_all,1561,1191,370,0.5329474037263893,0.6899423446508648,0.6421744162298318,0.6201793721973095,0.8402309913378249,0.39080459770114945,0.7329974811083123,0.5513513513513514,0.6754918646606304,0.3812203864184889,873,318,166,204
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,0.001,64,False,1.5,1.0,train_oof,gold_all,62,56,6,0.5329474037263893,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619047,0.5441050779286073,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,0.001,64,False,1.5,1.0,train_oof,gold_3_of_4,31,28,3,0.5329474037263893,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.7380952380952381,0.47857142857142854,23,5,1,2
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,0.001,64,False,1.5,1.0,train_oof,gold_4_of_4,31,28,3,0.5329474037263893,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9642857142857143,0.8333333333333333,21,7,0,3
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,0.001,64,False,1.5,1.15,train_oof,all,1623,1247,376,0.5429538523838762,0.696241528034504,0.6453541691549078,0.6228379998237074,0.8452380952380952,0.3898305084745763,0.7401764234161988,0.550531914893617,0.6799510314115579,0.38003472899664137,923,324,169,207
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,0.001,64,False,1.5,1.15,train_oof,weak_all,1561,1191,370,0.5429538523838762,0.6925048046124279,0.6419906052147866,0.6212681814321934,0.839541547277937,0.39299610894941633,0.7380352644836272,0.5459459459459459,0.675587174075839,0.38092532147075403,879,312,168,202
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,0.001,64,False,1.5,1.15,train_oof,gold_all,62,56,6,0.5429538523838762,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095238,0.5374034462269757,44,12,1,5
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,0.001,64,False,1.5,1.15,train_oof,gold_3_of_4,31,28,3,0.5429538523838762,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.7380952380952381,0.47857142857142854,23,5,1,2
