fold,pca_components,pca_whiten,cumulative_explained_variance_ratio,cumulative_explained_variance_percent,original_fit_recordings,augmented_fit_recordings,oof_original_recordings
0,64,False,0.9097003936767578,90.97003936767578,1298,32,325
0,384,False,0.9918065071105957,99.18065071105957,1298,32,325
1,64,False,0.8985125422477722,89.85125422477722,1298,40,325
1,384,False,0.9903379678726196,99.03379678726196,1298,40,325
2,64,False,0.9092918634414673,90.92918634414673,1299,40,324
2,384,False,0.9917346239089966,99.17346239089966,1299,40,324
3,64,False,0.9098339676856995,90.98339676856995,1298,40,325
3,384,False,0.9917508363723755,99.17508363723755,1298,40,325
4,64,False,0.9101086854934692,91.01086854934692,1299,40,324
4,384,False,0.9919242858886719,99.19242858886719,1299,40,324
