fold_excluded,gold_multiplier,wet_cost,source_type,class_name,consensus_group,recording_count,weight_sum,weight_mean
0,1.0,1.0,augmented,dry,gold_3_of_4,8,5.2465483234714005,0.6558185404339251
0,1.0,1.0,augmented,dry,gold_4_of_4,8,5.2465483234714005,0.6558185404339251
0,1.0,1.0,augmented,wet,gold_3_of_4,8,16.835443037974684,2.1044303797468356
0,1.0,1.0,augmented,wet,gold_4_of_4,8,16.835443037974684,2.1044303797468356
0,1.0,1.0,original,dry,gold_3_of_4,25,16.395463510848124,0.655818540433925
0,1.0,1.0,original,dry,gold_4_of_4,20,13.116370808678502,0.6558185404339251
0,1.0,1.0,original,dry,weak_1_vote,949,622.3717948717949,0.6558185404339251
0,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.6232741617357003,0.6558185404339251
0,1.0,1.0,original,wet,gold_3_of_4,2,4.208860759493671,2.1044303797468356
0,1.0,1.0,original,wet,gold_4_of_4,2,4.208860759493671,2.1044303797468356
0,1.0,1.0,original,wet,weak_1_vote,292,614.4936708860761,2.104430379746836
0,1.0,1.0,original,wet,weak_4_eval_2_1_1,4,8.417721518987342,2.1044303797468356
0,1.0,1.15,augmented,dry,gold_3_of_4,8,4.8805100683454885,0.6100637585431861
0,1.0,1.15,augmented,dry,gold_4_of_4,8,4.8805100683454885,0.6100637585431861
0,1.0,1.15,augmented,wet,gold_3_of_4,8,18.010008831321752,2.251251103915219
0,1.0,1.15,augmented,wet,gold_4_of_4,8,18.010008831321752,2.251251103915219
0,1.0,1.15,original,dry,gold_3_of_4,25,15.251593963579651,0.6100637585431861
0,1.0,1.15,original,dry,gold_4_of_4,20,12.20127517086372,0.6100637585431861
0,1.0,1.15,original,dry,weak_1_vote,949,578.9505068574836,0.6100637585431861
0,1.0,1.15,original,dry,weak_4_eval_2_1_1,4,2.4402550341727443,0.6100637585431861
0,1.0,1.15,original,wet,gold_3_of_4,2,4.502502207830438,2.251251103915219
0,1.0,1.15,original,wet,gold_4_of_4,2,4.502502207830438,2.251251103915219
0,1.0,1.15,original,wet,weak_1_vote,292,657.365322343244,2.251251103915219
0,1.0,1.15,original,wet,weak_4_eval_2_1_1,4,9.005004415660876,2.251251103915219
0,1.0,1.3,augmented,dry,gold_3_of_4,8,4.562215933453392,0.570276991681674
0,1.0,1.3,augmented,dry,gold_4_of_4,8,4.562215933453392,0.570276991681674
0,1.0,1.3,augmented,wet,gold_3_of_4,8,19.03137039075399,2.378921298844249
0,1.0,1.3,augmented,wet,gold_4_of_4,8,19.03137039075399,2.378921298844249
0,1.0,1.3,original,dry,gold_3_of_4,25,14.25692479204185,0.570276991681674
0,1.0,1.3,original,dry,gold_4_of_4,20,11.405539833633478,0.5702769916816739
0,1.0,1.3,original,dry,weak_1_vote,949,541.1928651059088,0.5702769916816742
0,1.0,1.3,original,dry,weak_4_eval_2_1_1,4,2.281107966726696,0.570276991681674
0,1.0,1.3,original,wet,gold_3_of_4,2,4.757842597688498,2.378921298844249
0,1.0,1.3,original,wet,gold_4_of_4,2,4.757842597688498,2.378921298844249
0,1.0,1.3,original,wet,weak_1_vote,292,694.6450192625207,2.378921298844249
0,1.0,1.3,original,wet,weak_4_eval_2_1_1,4,9.515685195376996,2.378921298844249
0,1.0,1.5,augmented,dry,gold_3_of_4,8,4.19723865877712,0.52465483234714
0,1.0,1.5,augmented,dry,gold_4_of_4,8,4.19723865877712,0.52465483234714
0,1.0,1.5,augmented,wet,gold_3_of_4,8,20.20253164556962,2.5253164556962027
0,1.0,1.5,augmented,wet,gold_4_of_4,8,20.20253164556962,2.5253164556962027
0,1.0,1.5,original,dry,gold_3_of_4,25,13.116370808678502,0.52465483234714
0,1.0,1.5,original,dry,gold_4_of_4,20,10.493096646942803,0.5246548323471402
0,1.0,1.5,original,dry,weak_1_vote,949,497.8974358974361,0.5246548323471403
0,1.0,1.5,original,dry,weak_4_eval_2_1_1,4,2.09861932938856,0.52465483234714
0,1.0,1.5,original,wet,gold_3_of_4,2,5.050632911392405,2.5253164556962027
0,1.0,1.5,original,wet,gold_4_of_4,2,5.050632911392405,2.5253164556962027
0,1.0,1.5,original,wet,weak_1_vote,292,737.3924050632912,2.5253164556962027
0,1.0,1.5,original,wet,weak_4_eval_2_1_1,4,10.10126582278481,2.5253164556962027
0,1.5,1.0,augmented,dry,gold_3_of_4,8,7.640019147917664,0.955002393489708
0,1.5,1.0,augmented,dry,gold_4_of_4,8,7.640019147917664,0.955002393489708
0,1.5,1.0,augmented,wet,gold_3_of_4,8,24.478527607361965,3.0598159509202456
0,1.5,1.0,augmented,wet,gold_4_of_4,8,24.478527607361965,3.0598159509202456
0,1.5,1.0,original,dry,gold_3_of_4,25,23.8750598372427,0.955002393489708
0,1.5,1.0,original,dry,gold_4_of_4,20,19.100047869794157,0.9550023934897078
0,1.5,1.0,original,dry,weak_1_vote,949,604.1981809478218,0.6366682623264719
0,1.5,1.0,original,dry,weak_4_eval_2_1_1,4,2.546673049305888,0.636668262326472
0,1.5,1.0,original,wet,gold_3_of_4,2,6.119631901840491,3.0598159509202456
0,1.5,1.0,original,wet,gold_4_of_4,2,6.119631901840491,3.0598159509202456
0,1.5,1.0,original,wet,weak_1_vote,292,595.6441717791411,2.039877300613497
0,1.5,1.0,original,wet,weak_4_eval_2_1_1,4,8.159509202453988,2.039877300613497
0,1.5,1.15,augmented,dry,gold_3_of_4,8,7.106994556202478,0.8883743195253098
0,1.5,1.15,augmented,dry,gold_4_of_4,8,7.106994556202478,0.8883743195253098
0,1.5,1.15,augmented,wet,gold_3_of_4,8,26.18633185903838,3.2732914823797974
0,1.5,1.15,augmented,wet,gold_4_of_4,8,26.18633185903838,3.2732914823797974
0,1.5,1.15,original,dry,gold_3_of_4,25,22.20935798813274,0.8883743195253097
0,1.5,1.15,original,dry,gold_4_of_4,20,17.767486390506193,0.8883743195253097
0,1.5,1.15,original,dry,weak_1_vote,949,562.0448194863459,0.5922495463502064
0,1.5,1.15,original,dry,weak_4_eval_2_1_1,4,2.3689981854008257,0.5922495463502064
0,1.5,1.15,original,wet,gold_3_of_4,2,6.546582964759595,3.2732914823797974
0,1.5,1.15,original,wet,gold_4_of_4,2,6.546582964759595,3.2732914823797974
0,1.5,1.15,original,wet,weak_1_vote,292,637.2007419032672,2.182194321586531
0,1.5,1.15,original,wet,weak_4_eval_2_1_1,4,8.728777286346125,2.182194321586531
0,1.5,1.3,augmented,dry,gold_3_of_4,8,6.643494911232753,0.8304368639040941
0,1.5,1.3,augmented,dry,gold_4_of_4,8,6.643494911232753,0.8304368639040941
0,1.5,1.3,augmented,wet,gold_3_of_4,8,27.671379034409178,3.458922379301147
0,1.5,1.3,augmented,wet,gold_4_of_4,8,27.671379034409178,3.458922379301147
0,1.5,1.3,original,dry,gold_3_of_4,25,20.76092159760235,0.8304368639040941
0,1.5,1.3,original,dry,gold_4_of_4,20,16.608737278081882,0.8304368639040941
0,1.5,1.3,original,dry,weak_1_vote,949,525.3897225633235,0.5536245759360627
0,1.5,1.3,original,dry,weak_4_eval_2_1_1,4,2.214498303744251,0.5536245759360627
0,1.5,1.3,original,wet,gold_3_of_4,2,6.917844758602294,3.458922379301147
0,1.5,1.3,original,wet,gold_4_of_4,2,6.917844758602294,3.458922379301147
0,1.5,1.3,original,wet,weak_1_vote,292,673.33688983729,2.3059482528674313
0,1.5,1.3,original,wet,weak_4_eval_2_1_1,4,9.223793011469725,2.3059482528674313
0,1.5,1.5,augmented,dry,gold_3_of_4,8,6.112015318334131,0.7640019147917664
0,1.5,1.5,augmented,dry,gold_4_of_4,8,6.112015318334131,0.7640019147917664
0,1.5,1.5,augmented,wet,gold_3_of_4,8,29.374233128834355,3.6717791411042944
0,1.5,1.5,augmented,wet,gold_4_of_4,8,29.374233128834355,3.6717791411042944
0,1.5,1.5,original,dry,gold_3_of_4,25,19.10004786979416,0.7640019147917664
0,1.5,1.5,original,dry,gold_4_of_4,20,15.280038295835327,0.7640019147917664
0,1.5,1.5,original,dry,weak_1_vote,949,483.3585447582575,0.5093346098611775
0,1.5,1.5,original,dry,weak_4_eval_2_1_1,4,2.0373384394447105,0.5093346098611776
0,1.5,1.5,original,wet,gold_3_of_4,2,7.343558282208589,3.6717791411042944
0,1.5,1.5,original,wet,gold_4_of_4,2,7.343558282208589,3.6717791411042944
0,1.5,1.5,original,wet,weak_1_vote,292,714.7730061349694,2.4478527607361964
0,1.5,1.5,original,wet,weak_4_eval_2_1_1,4,9.791411042944786,2.4478527607361964
1,1.0,1.0,augmented,dry,gold_3_of_4,8,5.262536873156342,0.6578171091445427
1,1.0,1.0,augmented,dry,gold_4_of_4,12,7.893805309734513,0.6578171091445427
1,1.0,1.0,augmented,wet,gold_3_of_4,8,16.672897196261683,2.0841121495327104
1,1.0,1.0,augmented,wet,gold_4_of_4,12,25.009345794392527,2.0841121495327104
1,1.0,1.0,original,dry,gold_3_of_4,21,13.814159292035393,0.6578171091445425
1,1.0,1.0,original,dry,gold_4_of_4,24,15.787610619469024,0.6578171091445427
1,1.0,1.0,original,dry,weak_1_vote,948,623.6106194690265,0.6578171091445427
1,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.631268436578171,0.6578171091445427
1,1.0,1.0,original,wet,gold_3_of_4,2,4.168224299065421,2.0841121495327104
1,1.0,1.0,original,wet,gold_4_of_4,3,6.252336448598131,2.0841121495327104
1,1.0,1.0,original,wet,weak_1_vote,293,610.6448598130842,2.0841121495327104
1,1.0,1.0,original,wet,weak_4_eval_2_1_1,3,6.252336448598131,2.0841121495327104
1,1.0,1.15,augmented,dry,gold_3_of_4,8,4.895383137819853,0.6119228922274816
1,1.0,1.15,augmented,dry,gold_4_of_4,12,7.343074706729781,0.6119228922274818
1,1.0,1.15,augmented,wet,gold_3_of_4,8,17.83612258204738,2.2295153227559226
1,1.0,1.15,augmented,wet,gold_4_of_4,12,26.75418387307107,2.2295153227559226
1,1.0,1.15,original,dry,gold_3_of_4,21,12.850380736777112,0.6119228922274815
1,1.0,1.15,original,dry,gold_4_of_4,24,14.68614941345956,0.6119228922274816
1,1.0,1.15,original,dry,weak_1_vote,948,580.1029018316526,0.6119228922274816
1,1.0,1.15,original,dry,weak_4_eval_2_1_1,4,2.4476915689099266,0.6119228922274816
1,1.0,1.15,original,wet,gold_3_of_4,2,4.459030645511845,2.2295153227559226
1,1.0,1.15,original,wet,gold_4_of_4,3,6.688545968267768,2.2295153227559226
1,1.0,1.15,original,wet,weak_1_vote,293,653.2479895674853,2.2295153227559226
1,1.0,1.15,original,wet,weak_4_eval_2_1_1,3,6.688545968267768,2.2295153227559226
1,1.0,1.3,augmented,dry,gold_3_of_4,8,4.57611902013595,0.5720148775169938
1,1.0,1.3,augmented,dry,gold_4_of_4,12,6.864178530203924,0.5720148775169936
1,1.0,1.3,augmented,wet,gold_3_of_4,8,18.84762291751321,2.355952864689151
1,1.0,1.3,augmented,wet,gold_4_of_4,12,28.271434376269813,2.355952864689151
1,1.0,1.3,original,dry,gold_3_of_4,21,12.012312427856868,0.5720148775169938
1,1.0,1.3,original,dry,gold_4_of_4,24,13.72835706040785,0.5720148775169938
1,1.0,1.3,original,dry,weak_1_vote,948,542.2701038861101,0.5720148775169938
1,1.0,1.3,original,dry,weak_4_eval_2_1_1,4,2.288059510067975,0.5720148775169938
1,1.0,1.3,original,wet,gold_3_of_4,2,4.711905729378302,2.355952864689151
1,1.0,1.3,original,wet,gold_4_of_4,3,7.067858594067454,2.355952864689151
1,1.0,1.3,original,wet,weak_1_vote,293,690.2941893539214,2.3559528646891517
1,1.0,1.3,original,wet,weak_4_eval_2_1_1,3,7.067858594067454,2.355952864689151
1,1.0,1.5,augmented,dry,gold_3_of_4,8,4.210029498525074,0.5262536873156343
1,1.0,1.5,augmented,dry,gold_4_of_4,12,6.315044247787611,0.5262536873156343
1,1.0,1.5,augmented,wet,gold_3_of_4,8,20.007476635514017,2.500934579439252
1,1.0,1.5,augmented,wet,gold_4_of_4,12,30.01121495327103,2.5009345794392526
1,1.0,1.5,original,dry,gold_3_of_4,21,11.05132743362832,0.5262536873156343
1,1.0,1.5,original,dry,gold_4_of_4,24,12.630088495575222,0.5262536873156343
1,1.0,1.5,original,dry,weak_1_vote,948,498.88849557522127,0.5262536873156343
1,1.0,1.5,original,dry,weak_4_eval_2_1_1,4,2.105014749262537,0.5262536873156343
1,1.0,1.5,original,wet,gold_3_of_4,2,5.001869158878504,2.500934579439252
1,1.0,1.5,original,wet,gold_4_of_4,3,7.502803738317756,2.500934579439252
1,1.0,1.5,original,wet,weak_1_vote,293,732.773831775701,2.5009345794392526
1,1.0,1.5,original,wet,weak_4_eval_2_1_1,3,7.502803738317756,2.500934579439252
1,1.5,1.0,augmented,dry,gold_3_of_4,8,7.649356836588852,0.9561696045736064
1,1.5,1.0,augmented,dry,gold_4_of_4,12,11.474035254883278,0.9561696045736064
1,1.5,1.0,augmented,wet,gold_3_of_4,8,24.071964017991004,3.0089955022488755
1,1.5,1.0,augmented,wet,gold_4_of_4,12,36.107946026986504,3.0089955022488755
1,1.5,1.0,original,dry,gold_3_of_4,21,20.079561696045737,0.9561696045736066
1,1.5,1.0,original,dry,gold_4_of_4,24,22.948070509766556,0.9561696045736064
1,1.5,1.0,original,dry,weak_1_vote,948,604.2991900905192,0.637446403049071
1,1.5,1.0,original,dry,weak_4_eval_2_1_1,4,2.549785612196284,0.637446403049071
1,1.5,1.0,original,wet,gold_3_of_4,2,6.017991004497751,3.0089955022488755
1,1.5,1.0,original,wet,gold_4_of_4,3,9.026986506746626,3.0089955022488755
1,1.5,1.0,original,wet,weak_1_vote,293,587.7571214392802,2.00599700149925
1,1.5,1.0,original,wet,weak_4_eval_2_1_1,3,6.017991004497751,2.0059970014992503
1,1.5,1.15,augmented,dry,gold_3_of_4,8,7.115680778222188,0.8894600972777735
1,1.5,1.15,augmented,dry,gold_4_of_4,12,10.67352116733328,0.8894600972777734
1,1.5,1.15,augmented,wet,gold_3_of_4,8,25.7514033680834,3.218925421010425
1,1.5,1.15,augmented,wet,gold_4_of_4,12,38.627105052125096,3.218925421010425
1,1.5,1.15,original,dry,gold_3_of_4,21,18.678662042833242,0.8894600972777734
1,1.5,1.15,original,dry,gold_4_of_4,24,21.347042334666565,0.8894600972777735
1,1.5,1.15,original,dry,weak_1_vote,948,562.1387814795528,0.5929733981851822
1,1.5,1.15,original,dry,weak_4_eval_2_1_1,4,2.3718935927407294,0.5929733981851824
1,1.5,1.15,original,wet,gold_3_of_4,2,6.43785084202085,3.218925421010425
1,1.5,1.15,original,wet,gold_4_of_4,3,9.656776263031274,3.218925421010425
1,1.5,1.15,original,wet,weak_1_vote,293,628.7634322373697,2.145950280673617
1,1.5,1.15,original,wet,weak_4_eval_2_1_1,3,6.437850842020849,2.1459502806736164
1,1.5,1.3,augmented,dry,gold_3_of_4,8,6.6516146405120455,0.8314518300640057
1,1.5,1.3,augmented,dry,gold_4_of_4,12,9.97742196076807,0.8314518300640058
1,1.5,1.3,augmented,wet,gold_3_of_4,8,27.21178541164201,3.401473176455251
1,1.5,1.3,augmented,wet,gold_4_of_4,12,40.817678117463004,3.40147317645525
1,1.5,1.3,original,dry,gold_3_of_4,21,17.46048843134412,0.8314518300640058
1,1.5,1.3,original,dry,gold_4_of_4,24,19.95484392153614,0.8314518300640058
1,1.5,1.3,original,dry,weak_1_vote,948,525.4775566004517,0.5543012200426706
1,1.5,1.3,original,dry,weak_4_eval_2_1_1,4,2.217204880170682,0.5543012200426705
1,1.5,1.3,original,wet,gold_3_of_4,2,6.802946352910502,3.401473176455251
1,1.5,1.3,original,wet,gold_4_of_4,3,10.204419529365753,3.401473176455251
1,1.5,1.3,original,wet,weak_1_vote,293,664.4210938009255,2.2676487843035003
1,1.5,1.3,original,wet,weak_4_eval_2_1_1,3,6.802946352910502,2.2676487843035007
1,1.5,1.5,augmented,dry,gold_3_of_4,8,6.119485469271082,0.7649356836588852
1,1.5,1.5,augmented,dry,gold_4_of_4,12,9.179228203906623,0.7649356836588853
1,1.5,1.5,augmented,wet,gold_3_of_4,8,28.8863568215892,3.61079460269865
1,1.5,1.5,augmented,wet,gold_4_of_4,12,43.32953523238379,3.610794602698649
1,1.5,1.5,original,dry,gold_3_of_4,21,16.06364935683659,0.7649356836588852
1,1.5,1.5,original,dry,gold_4_of_4,24,18.358456407813243,0.7649356836588851
1,1.5,1.5,original,dry,weak_1_vote,948,483.43935207241555,0.509957122439257
1,1.5,1.5,original,dry,weak_4_eval_2_1_1,4,2.0398284897570274,0.5099571224392568
