dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,all,1623,1247,376,0.5451205759080889,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
train_oof,weak_all,1561,1191,370,0.5451205759080889,0.6976297245355542,0.6453491274649965,0.6255179171901747,0.8407582938388626,0.39920948616600793,0.744752308984047,0.5459459459459459,0.6793723194226973,0.3797753018977765,887,304,168,202
train_oof,gold_all,62,56,6,0.5451205759080889,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619048,0.5892242862057103,44,12,1,5
train_oof,gold_3_of_4,31,28,3,0.5451205759080889,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
train_oof,gold_4_of_4,31,28,3,0.5451205759080889,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
validation,all,349,268,81,0.5451205759080889,0.6876790830945558,0.6588124193845587,0.6257170125052884,0.8565022421524664,0.3888888888888889,0.7126865671641791,0.6049382716049383,0.6743596830661508,0.3559763658089218,191,77,32,49
validation,weak_all,336,256,80,0.5451205759080889,0.6785714285714286,0.6515625,0.6199095022624435,0.8490566037735849,0.3870967741935484,0.703125,0.6,0.665380859375,0.3493378715928406,180,76,32,48
validation,gold_all,13,12,1,0.5451205759080889,0.9230769230769231,0.9583333333333333,0.8115942028985508,1.0,0.5,0.9166666666666666,1.0,1.0,1.0,11,1,0,1
validation,gold_3_of_4,5,5,0,0.5451205759080889,0.8,,0.4444444444444444,1.0,0.0,0.8,,,,4,1,0,0
validation,gold_4_of_4,8,7,1,0.5451205759080889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,1
