candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.0,0.5451205759080889,0.550531914893617,0.08085090000076889,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.0,0.5343968740136531,0.550531914893617,0.04839110000011715,0.6931608133086876,0.6507799570031907,0.6242608446639493,0.8496732026143791,0.3894927536231884,0.7297514033680834,0.5718085106382979,0.6832312443481376,0.38104050259088473,910,337,161,215,0.6487985212569316,0.6442024689040933,0.5983901048142308,0.8559411146161935,0.3556547619047619,0.652766639935846,0.6356382978723404,0.6832312443481376,0.38104050259088473,814,433,137,239
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.0,0.5369963217661129,0.550531914893617,0.03797039999972185,0.6913123844731978,0.6449329454520636,0.6202710938320899,0.8460111317254174,0.3853211009174312,0.731355252606255,0.5585106382978723,0.6817148390178982,0.37840533986562047,912,335,166,210,0.6487985212569316,0.6516330683000904,0.6015287416524813,0.8620320855614974,0.35901162790697677,0.6463512429831596,0.6569148936170213,0.6817148390178982,0.37840533986562047,806,441,129,247
logistic_regression__C0.0003__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca128__no_whiten,0.0003,l2,128,False,1.0,1.0,0.527621203089641,0.550531914893617,0.08317769999939628,0.6839186691312384,0.650338471907045,0.6194537697020666,0.8515325670498084,0.38169257340241797,0.7129109863672815,0.5877659574468085,0.684790305243222,0.3789374328102694,889,358,155,221,0.6487985212569316,0.6516330683000904,0.6015287416524813,0.8620320855614974,0.35901162790697677,0.6463512429831596,0.6569148936170213,0.684790305243222,0.3789374328102694,806,441,129,247
logistic_regression__C0.001__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca192__no_whiten,0.001,l2,192,False,1.0,1.0,0.5349301598057852,0.550531914893617,0.11264830000163784,0.6888478126925447,0.643329096213892,0.6182377120765746,0.845437616387337,0.3825136612021858,0.7281475541299118,0.5585106382978723,0.6805034209763007,0.37749376817388525,908,339,166,210,0.6370918052988294,0.6328688853247795,0.5872481091590664,0.85,0.3440702781844802,0.640737770649559,0.625,0.6805034209763007,0.37749376817388525,799,448,141,235
logistic_regression__C0.003__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca64__no_whiten,0.003,l2,64,False,1.0,1.0,0.5306674349420213,0.550531914893617,0.05493140000089625,0.6894639556377079,0.640943583749936,0.617242773398019,0.8436632747456059,0.38191881918819187,0.731355252606255,0.550531914893617,0.6794370318551758,0.37905204525112046,912,335,169,207,0.6555760936537277,0.6421112798375677,0.6010529745674058,0.8524590163934426,0.35857805255023184,0.6672012830793905,0.6170212765957447,0.6794370318551758,0.37905204525112046,832,415,144,232
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.0,1.0,0.5320668628950002,0.550531914893617,0.15700769999966724,0.6845348120764018,0.6405223600470917,0.6146909463204009,0.8444236176194939,0.3776978417266187,0.7225340817963112,0.5585106382978723,0.6816337934446929,0.37888695029193814,901,346,166,210,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6816337934446929,0.37888695029193814,804,443,143,233
logistic_regression__C0.001__pca384__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca384__no_whiten,0.001,l2,384,False,1.0,1.0,0.5344689082390242,0.550531914893617,0.2515616999990016,0.6833025261860751,0.6397204354280059,0.6136802308780925,0.844131455399061,0.3763440860215054,0.7209302325581395,0.5585106382978723,0.6813629306079272,0.3781013455734735,899,348,166,210,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6813629306079272,0.3781013455734735,804,443,143,233
logistic_regression__C0.0003__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca256__no_whiten,0.0003,l2,256,False,1.0,1.0,0.533337243494683,0.550531914893617,0.11410150000028807,0.6839186691312384,0.6382637478885496,0.6131931671787086,0.8429906542056075,0.37613019891500904,0.723336006415397,0.5531914893617021,0.6848436246992783,0.37902242441991085,902,345,168,208,0.6444855206407887,0.6460398573597912,0.5968292100147884,0.8586723768736617,0.35413642960812775,0.6431435445068163,0.648936170212766,0.6848436246992783,0.37902242441991085,802,445,132,244
logistic_regression__C0.0003__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca192__no_whiten,0.0003,l2,192,False,1.0,1.0,0.5346348012305953,0.550531914893617,0.0849657999988267,0.6839186691312384,0.6382637478885496,0.6131931671787086,0.8429906542056075,0.37613019891500904,0.723336006415397,0.5531914893617021,0.6842976334692624,0.3789982893870053,902,345,168,208,0.6432532347504621,0.6452379327407054,0.5958194282735475,0.8583690987124464,0.35311143270622286,0.6415396952686447,0.648936170212766,0.6842976334692624,0.3789982893870053,800,447,132,244
