candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.0,0.5451205759080889,0.550531914893617,0.079230400000597,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p3,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.3,0.5546256357742827,0.550531914893617,0.04247519999898941,0.6987060998151571,0.6506733180910782,0.6269026906451484,0.8483455882352942,0.394392523364486,0.7401764234161988,0.5611702127659575,0.6831011448753603,0.3802819210995844,923,324,165,211,0.636475662353666,0.6482579467317306,0.5932655647907138,0.8629834254143647,0.35097493036211697,0.6263031275060145,0.6702127659574468,0.6831011448753603,0.3802819210995844,781,466,124,252
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p5,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.5,0.5634086753571146,0.550531914893617,0.04009810000025027,0.6974738139248305,0.6498713934719924,0.6258769246803682,0.8480662983425414,0.3929236499068901,0.7385725741780272,0.5611702127659575,0.6830350287498508,0.37962292976224077,921,326,165,211,0.6216882316697474,0.6432789759251991,0.5828888152211038,0.8633754305396096,0.34175531914893614,0.603047313552526,0.6835106382978723,0.6830350287498508,0.37962292976224077,752,495,119,257
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.0,0.5335386073504829,0.550531914893617,0.03811619999942195,0.6931608133086876,0.6535664317766896,0.6257057489830546,0.8516431924882629,0.3906810035842294,0.7273456295108259,0.5797872340425532,0.6838604139296012,0.3822851459859041,907,340,158,218,0.6506469500924215,0.6472630056817212,0.6007030125576389,0.8578947368421053,0.35809806835066865,0.6535685645549318,0.6409574468085106,0.6838604139296012,0.3822851459859041,815,432,135,241
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.15,0.5524999271678863,0.550531914893617,0.07786610000039218,0.6987060998151571,0.6469580183930795,0.6248824873128836,0.8458029197080292,0.3927893738140417,0.7433841218925421,0.550531914893617,0.6831160743230562,0.3793215207147165,927,320,169,207,0.625385089340727,0.6317523759149619,0.5804789453814523,0.8522601984564498,0.33798882681564246,0.619887730553328,0.6436170212765957,0.6831160743230562,0.3793215207147165,773,474,134,242
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.0,0.5343968740136531,0.550531914893617,0.040187399999012996,0.6931608133086876,0.6507799570031907,0.6242608446639493,0.8496732026143791,0.3894927536231884,0.7297514033680834,0.5718085106382979,0.6832312443481376,0.38104050259088473,910,337,161,215,0.6487985212569316,0.6442024689040933,0.5983901048142308,0.8559411146161935,0.3556547619047619,0.652766639935846,0.6356382978723404,0.6832312443481376,0.38104050259088473,814,433,137,239
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.5,0.5633106590491248,0.550531914893617,0.03970669999944221,0.696241528034504,0.6472118190039072,0.6238507699142294,0.8465073529411765,0.39065420560747666,0.7385725741780272,0.5558510638297872,0.6838156255865142,0.38098127883158245,921,326,167,209,0.6229205175600739,0.6450097254687847,0.5842474835754324,0.8645235361653272,0.34308510638297873,0.6038492381716118,0.6861702127659575,0.6838156255865142,0.38098127883158245,753,494,118,258
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.15,0.5458943763000876,0.550531914893617,0.04345099999954982,0.6950092421441775,0.6482675442338208,0.6238293612424632,0.8475046210720887,0.3900184842883549,0.7353648757016841,0.5611702127659575,0.6832248460134108,0.38073739645529003,917,330,165,211,0.6414048059149723,0.6486791704345749,0.5962065250846414,0.8618063112078346,0.3536931818181818,0.6351242983159583,0.6622340425531915,0.6832248460134108,0.38073739645529003,792,455,127,249
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.15,0.544110539063188,0.550531914893617,0.038384899999982736,0.6937769562538509,0.6493232694637343,0.6237954899168847,0.8485130111524164,0.38939670932358317,0.7321571772253408,0.5664893617021277,0.6840331689672234,0.38224307827857906,913,334,163,213,0.6432532347504621,0.6498820573632036,0.597726125667965,0.8622559652928417,0.35520684736091296,0.6375300721732157,0.6622340425531915,0.6840331689672234,0.38224307827857906,795,452,127,249
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.3,0.5507077857969398,0.550531914893617,0.041965699999309436,0.6931608133086876,0.649851132078691,0.6237739256721532,0.8490214352283317,0.3890909090909091,0.7305533279871692,0.5691489361702128,0.6840331689672235,0.381962604363121,911,336,162,214,0.634011090573013,0.6485117473425583,0.5919638987458352,0.8639910813823858,0.349862258953168,0.6214915797914996,0.675531914893617,0.6840331689672235,0.381962604363121,775,472,122,254
