candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,all,1623,1247,376,0.5451205759080889,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,weak_all,1561,1191,370,0.5451205759080889,0.6976297245355542,0.6453491274649965,0.6255179171901747,0.8407582938388626,0.39920948616600793,0.744752308984047,0.5459459459459459,0.6793723194226973,0.3797753018977765,887,304,168,202
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_all,62,56,6,0.5451205759080889,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619048,0.5892242862057103,44,12,1,5
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_3_of_4,31,28,3,0.5451205759080889,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_4_of_4,31,28,3,0.5451205759080889,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,0.001,128,False,1.0,1.15,train_oof,all,1623,1247,376,0.5524999271678863,0.6987060998151571,0.6469580183930795,0.6248824873128836,0.8458029197080292,0.3927893738140417,0.7433841218925421,0.550531914893617,0.6831160743230562,0.3793215207147165,927,320,169,207
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,0.001,128,False,1.0,1.15,train_oof,weak_all,1561,1191,370,0.5524999271678863,0.6957078795643818,0.6440896816211678,0.6239216229280121,0.8403041825095057,0.3968565815324165,0.7422334172963896,0.5459459459459459,0.6792066625819775,0.37973335659739726,884,307,168,202
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,0.001,128,False,1.0,1.15,train_oof,gold_all,62,56,6,0.5524999271678863,0.7741935483870968,0.8005952380952381,0.6383333333333333,0.9772727272727273,0.2777777777777778,0.7678571428571429,0.8333333333333334,0.8422619047619048,0.5892242862057103,43,13,1,5
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,0.001,128,False,1.0,1.15,train_oof,gold_3_of_4,31,28,3,0.5524999271678863,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p15,0.001,128,False,1.0,1.15,train_oof,gold_4_of_4,31,28,3,0.5524999271678863,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9404761904761905,0.7916666666666666,20,8,0,3
