candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.0,0.5451205759080889,0.550531914893617,0.08185989999856247,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.0,0.5430145034265761,0.550531914893617,0.08686210000087158,0.6956253850893407,0.644953206845365,0.6223277171271051,0.845096241979835,0.3890977443609023,0.739374498797113,0.550531914893617,0.68427630568684,0.38077595505242806,922,325,169,207,0.6383240911891559,0.6327419850193656,0.5878438506514154,0.8495762711864406,0.3446244477172312,0.6431435445068163,0.6223404255319149,0.68427630568684,0.38077595505242806,802,445,142,234
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.3,0.5539408684544631,0.550531914893617,0.09695190000002185,0.6900800985828712,0.6459886706819772,0.6202427952010338,0.8470149253731343,0.38475499092558985,0.7281475541299118,0.5638297872340425,0.6840694261973417,0.3807073340331686,908,339,164,212,0.6149106592729513,0.6267936665017317,0.5727200468065049,0.8510158013544018,0.3310719131614654,0.6046511627906976,0.648936170212766,0.6840694261973417,0.3807073340331686,754,493,132,244
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.3,0.5536526188183823,0.550531914893617,0.0869128999993336,0.6894639556377079,0.6455877083724342,0.6197338668888162,0.8468720821661998,0.38405797101449274,0.7273456295108259,0.5638297872340425,0.6827769625825385,0.3792881828149037,907,340,164,212,0.6149106592729513,0.6286513163507311,0.5734502393304215,0.8526077097505669,0.3319838056680162,0.603047313552526,0.6542553191489362,0.6827769625825385,0.3792881828149037,752,495,130,246
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.5,1.0,0.5355973014702271,0.550531914893617,0.17716290000134904,0.6869993838570548,0.6411973843607637,0.6162191852238028,0.8443616029822927,0.38,0.7265437048917401,0.5558510638297872,0.6828324148168371,0.37975511721633015,906,341,167,209,0.6333949476278496,0.6267478117695235,0.5826362395965378,0.8460721868365181,0.3392070484581498,0.6391339214113874,0.6143617021276596,0.6828324148168371,0.37975511721633015,797,450,145,231
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.0,1.0,0.5320668628950002,0.550531914893617,0.16245639999942796,0.6845348120764018,0.6405223600470917,0.6146909463204009,0.8444236176194939,0.3776978417266187,0.7225340817963112,0.5585106382978723,0.6816337934446929,0.37888695029193814,901,346,166,210,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6816337934446929,0.37888695029193814,804,443,143,233
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.5,1.3,0.5464569349533765,0.550531914893617,0.18979609999951208,0.680837954405422,0.6399742360388336,0.6126398841118188,0.8448438978240302,0.3745583038869258,0.7161186848436247,0.5638297872340425,0.6824015936119026,0.3795717773417405,893,354,164,212,0.6179913739987677,0.6306561278984457,0.5759559175527432,0.8534385569334837,0.3342391304347826,0.6070569366479551,0.6542553191489362,0.6824015936119026,0.3795717773417405,757,490,130,246
logistic_regression__C0.0001__pca128__no_whiten__gold1__wetcost1p3,logistic_regression__C0.0001__pca128__no_whiten,0.0001,l2,128,False,1.0,1.3,0.5316146222632362,0.550531914893617,0.06138909999845055,0.6814540973505854,0.6385175484993773,0.6121663039112415,0.8436911487758946,0.37433155080213903,0.7185244587008821,0.5585106382978723,0.6779184937466942,0.37178611310255705,896,351,166,210,0.6333949476278496,0.6378937108635192,0.5873784644702856,0.855119825708061,0.3446808510638298,0.6295108259823576,0.6462765957446809,0.6779184937466942,0.37178611310255705,785,462,133,243
logistic_regression__C0.0001__pca128__no_whiten__gold1p5__wetcost1,logistic_regression__C0.0001__pca128__no_whiten,0.0001,l2,128,False,1.5,1.0,0.525938289814506,0.550531914893617,0.05637450000085664,0.6802218114602587,0.6395732737292907,0.612135307858393,0.8446969696969697,0.37389770723104054,0.7153167602245389,0.5638297872340425,0.6783450493951441,0.37199013638973966,892,355,164,212,0.6395563770794824,0.6391168591854494,0.5912393203789449,0.854389721627409,0.3483309143686502,0.6399358460304732,0.6382978723404256,0.6783450493951441,0.37199013638973966,798,449,136,240
logistic_regression__C0.0001__pca128__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.0001__pca128__no_whiten,0.0001,l2,128,False,1.5,1.3,0.5274885716616433,0.550531914893617,0.05889669999942271,0.6789895255699322,0.6406289989592042,0.6120917327911561,0.8457142857142858,0.37347294938917974,0.7121090617481957,0.5691489361702128,0.6781509665750993,0.37203128567633614,888,359,162,214,0.6358595194085028,0.6385687351771911,0.5890038884663589,0.854978354978355,0.34620886981402005,0.6335204490777867,0.6436170212765957,0.6781509665750993,0.37203128567633614,790,457,134,242
