fold,pca_components,pca_whiten,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,128,False,0.9545506834983826,95.45506834983826
0,256,False,0.9824354648590088,98.24354648590088
1,128,False,0.9474956393241882,94.74956393241882
1,256,False,0.9794676303863525,97.94676303863525
2,128,False,0.9543248414993286,95.43248414993286
2,256,False,0.9824087023735046,98.24087023735046
3,128,False,0.9545213580131531,95.45213580131531
3,256,False,0.9823943972587585,98.23943972587585
4,128,False,0.9550355672836304,95.50355672836304
4,256,False,0.9826656579971313,98.26656579971313
