fold_excluded,gold_multiplier,wet_cost,class_name,consensus_group,recording_count,weight_sum,weight_mean
0,1.0,1.0,dry,gold_3_of_4,25,16.25751503006012,0.6503006012024047
0,1.0,1.0,dry,gold_4_of_4,20,13.006012024048097,0.6503006012024048
0,1.0,1.0,dry,weak_1_vote,949,617.1352705410821,0.6503006012024048
0,1.0,1.0,dry,weak_4_eval_2_1_1,4,2.6012024048096194,0.6503006012024048
0,1.0,1.0,wet,gold_3_of_4,2,4.326666666666667,2.1633333333333336
0,1.0,1.0,wet,gold_4_of_4,2,4.326666666666667,2.1633333333333336
0,1.0,1.0,wet,weak_1_vote,292,631.6933333333334,2.1633333333333336
0,1.0,1.0,wet,weak_4_eval_2_1_1,4,8.653333333333334,2.1633333333333336
0,1.0,1.3,dry,gold_3_of_4,25,14.13696959135663,0.5654787836542652
0,1.0,1.3,dry,gold_4_of_4,20,11.309575673085305,0.5654787836542653
0,1.0,1.3,dry,weak_1_vote,949,536.6393656878979,0.5654787836542654
0,1.0,1.3,dry,weak_4_eval_2_1_1,4,2.2619151346170607,0.5654787836542652
0,1.0,1.3,wet,gold_3_of_4,2,4.891014492753624,2.445507246376812
0,1.0,1.3,wet,gold_4_of_4,2,4.891014492753624,2.445507246376812
0,1.0,1.3,wet,weak_1_vote,292,714.0881159420292,2.4455072463768124
0,1.0,1.3,wet,weak_4_eval_2_1_1,4,9.782028985507248,2.445507246376812
0,1.5,1.0,dry,gold_3_of_4,25,23.84860362567369,0.9539441450269476
0,1.5,1.0,dry,gold_4_of_4,20,19.078882900538954,0.9539441450269477
0,1.5,1.0,dry,weak_1_vote,949,603.5286624203823,0.6359627633512985
0,1.5,1.0,dry,weak_4_eval_2_1_1,4,2.5438510534051937,0.6359627633512984
0,1.5,1.0,wet,gold_3_of_4,2,6.447019867549669,3.2235099337748343
0,1.5,1.0,wet,gold_4_of_4,2,6.447019867549669,3.2235099337748343
0,1.5,1.0,wet,weak_1_vote,292,627.5099337748344,2.149006622516556
0,1.5,1.0,wet,weak_4_eval_2_1_1,4,8.596026490066226,2.1490066225165565
0,1.5,1.3,dry,gold_3_of_4,25,20.737916196237997,0.8295166478495198
0,1.5,1.3,dry,gold_4_of_4,20,16.590332956990398,0.82951664784952
0,1.5,1.3,dry,weak_1_vote,949,524.8075325394631,0.5530110985663468
0,1.5,1.3,dry,weak_4_eval_2_1_1,4,2.2120443942653862,0.5530110985663466
0,1.5,1.3,wet,gold_3_of_4,2,7.2879355024474535,3.6439677512237267
0,1.5,1.3,wet,gold_4_of_4,2,7.2879355024474535,3.6439677512237267
0,1.5,1.3,wet,weak_1_vote,292,709.359055571552,2.4293118341491504
0,1.5,1.3,wet,weak_4_eval_2_1_1,4,9.717247336596603,2.429311834149151
1,1.0,1.0,dry,gold_3_of_4,21,13.670010030090275,0.6509528585757274
1,1.0,1.0,dry,gold_4_of_4,24,15.622868605817452,0.6509528585757272
1,1.0,1.0,dry,weak_1_vote,948,617.1033099297895,0.6509528585757273
1,1.0,1.0,dry,weak_4_eval_2_1_1,4,2.6038114343029086,0.6509528585757272
1,1.0,1.0,wet,gold_3_of_4,2,4.312292358803987,2.1561461794019934
1,1.0,1.0,wet,gold_4_of_4,3,6.46843853820598,2.1561461794019934
1,1.0,1.0,wet,weak_1_vote,293,631.750830564784,2.1561461794019934
1,1.0,1.0,wet,weak_4_eval_2_1_1,3,6.46843853820598,2.1561461794019934
1,1.0,1.3,dry,gold_3_of_4,21,11.886965243556762,0.5660459639788934
1,1.0,1.3,dry,gold_4_of_4,24,13.585103135493439,0.5660459639788933
1,1.0,1.3,dry,weak_1_vote,948,536.6115738519907,0.5660459639788931
1,1.0,1.3,dry,weak_4_eval_2_1_1,4,2.264183855915573,0.5660459639788933
1,1.0,1.3,wet,gold_3_of_4,2,4.874765275169725,2.4373826375848626
1,1.0,1.3,wet,gold_4_of_4,3,7.312147912754588,2.4373826375848626
1,1.0,1.3,wet,weak_1_vote,293,714.1531128123647,2.4373826375848626
1,1.0,1.3,wet,weak_4_eval_2_1_1,3,7.312147912754588,2.4373826375848626
1,1.5,1.0,dry,gold_3_of_4,21,20.05247670426679,0.9548798430603234
1,1.5,1.0,dry,gold_4_of_4,24,22.917116233447768,0.9548798430603237
1,1.5,1.0,dry,weak_1_vote,948,603.4840608141245,0.6365865620402157
1,1.5,1.0,dry,weak_4_eval_2_1_1,4,2.546346248160863,0.6365865620402158
1,1.5,1.0,wet,gold_3_of_4,2,6.415156507413509,3.2075782537067545
1,1.5,1.0,wet,gold_4_of_4,3,9.622734761120263,3.2075782537067545
1,1.5,1.0,wet,weak_1_vote,293,626.5469522240528,2.13838550247117
1,1.5,1.0,wet,weak_4_eval_2_1_1,3,6.415156507413508,2.1383855024711695
1,1.5,1.3,dry,gold_3_of_4,21,17.436936264579824,0.8303302983133249
1,1.5,1.3,dry,gold_4_of_4,24,19.927927159519804,0.8303302983133252
1,1.5,1.3,dry,weak_1_vote,948,524.7687485340213,0.5535535322088831
1,1.5,1.3,dry,weak_4_eval_2_1_1,4,2.2142141288355335,0.5535535322088834
1,1.5,1.3,wet,gold_3_of_4,2,7.251916051858751,3.6259580259293753
1,1.5,1.3,wet,gold_4_of_4,3,10.877874077788126,3.6259580259293753
1,1.5,1.3,wet,weak_1_vote,293,708.2704677315379,2.4173053506195834
1,1.5,1.3,wet,weak_4_eval_2_1_1,3,7.25191605185875,2.4173053506195834
2,1.0,1.0,dry,gold_3_of_4,22,14.317635270541079,0.6508016032064127
2,1.0,1.0,dry,gold_4_of_4,23,14.96843687374749,0.6508016032064127
2,1.0,1.0,dry,weak_1_vote,949,617.6107214428855,0.6508016032064126
2,1.0,1.0,dry,weak_4_eval_2_1_1,4,2.603206412825651,0.6508016032064128
2,1.0,1.0,wet,gold_3_of_4,3,6.4734219269103,2.1578073089700998
2,1.0,1.0,wet,gold_4_of_4,2,4.3156146179401995,2.1578073089700998
2,1.0,1.0,wet,weak_1_vote,294,634.3953488372092,2.1578073089700993
2,1.0,1.0,wet,weak_4_eval_2_1_1,2,4.3156146179401995,2.1578073089700998
2,1.0,1.3,dry,gold_3_of_4,22,12.45011762655746,0.5659144375707936
2,1.0,1.3,dry,gold_4_of_4,23,13.016032064128254,0.5659144375707936
2,1.0,1.3,dry,weak_1_vote,949,537.0528012546836,0.5659144375707941
2,1.0,1.3,dry,weak_4_eval_2_1_1,4,2.2636577502831754,0.5659144375707938
2,1.0,1.3,wet,gold_3_of_4,3,7.317781308681207,2.439260436227069
2,1.0,1.3,wet,gold_4_of_4,2,4.878520872454138,2.439260436227069
2,1.0,1.3,wet,weak_1_vote,294,717.1425682507584,2.439260436227069
2,1.0,1.3,wet,weak_4_eval_2_1_1,2,4.878520872454138,2.439260436227069
2,1.5,1.0,dry,gold_3_of_4,22,21.002939735423812,0.9546790788829006
2,1.5,1.0,dry,gold_4_of_4,23,21.957618814306713,0.9546790788829006
2,1.5,1.0,dry,weak_1_vote,949,603.9936305732483,0.6364527192552669
2,1.5,1.0,dry,weak_4_eval_2_1_1,4,2.545810877021068,0.636452719255267
2,1.5,1.0,wet,gold_3_of_4,3,9.63014827018122,3.2100494233937398
2,1.5,1.0,wet,gold_4_of_4,2,6.4200988467874796,3.2100494233937398
