candidate_key,coch_model,alpha_wst,weight_coch,threshold_oof,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,coch_raw_pca64_rf,0.8,0.19999999999999996,0.5248999438745263,0.7036352433764633,0.6520233667184221,0.6300092940458863,0.8481818181818181,0.39961759082217974,0.748195669607057,0.5558510638297872,0.6852360558958521,0.38156922189696474,933,314,167,209,0.6648182378311769,0.6425527649337133,0.6060187416331995,0.8504486540378864,0.36451612903225805,0.6840417000801925,0.601063829787234,0.6852360558958521,0.38156922189696474,853,394,150,226
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p60,coch_raw_pca64_rf,0.6,0.4,0.5006497221101766,0.7011706715958103,0.6532059922537494,0.6294578109929093,0.8495412844036697,0.3977485928705441,0.7425821972734563,0.5638297872340425,0.6878231159037007,0.3845845450837187,926,321,164,212,0.6987060998151571,0.6534597928645771,0.6283890053486152,0.8502772643253235,0.3955637707948244,0.7377706495589414,0.5691489361702128,0.6878231159037007,0.3845845450837187,920,327,162,214
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p65,coch_raw_pca64_rf,0.65,0.35,0.5079398850913388,0.7017868145409735,0.651749304714293,0.6289703981923022,0.8484018264840183,0.3977272727272727,0.7449879711307137,0.5585106382978723,0.6872621952259891,0.38336602528538494,929,318,166,210,0.6869993838570548,0.6486279837567609,0.6201178786270347,0.8495742667928098,0.3833922261484099,0.7201283079390537,0.5771276595744681,0.6872621952259891,0.38336602528538494,898,349,159,217
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p70,coch_raw_pca64_rf,0.7,0.30000000000000004,0.5140855280293126,0.7024029574861368,0.6502926171748367,0.6284708711521062,0.8472727272727273,0.3977055449330784,0.7473937449879712,0.5531914893617021,0.6866394239792524,0.38238517098067115,932,315,168,208,0.6771410967344423,0.6449990615775734,0.6134041988355559,0.8492753623188406,0.3741496598639456,0.7048917401764234,0.5851063829787234,0.6866394239792524,0.38238517098067115,879,368,156,220
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p80,coch_raw_pca64_xgb,0.8,0.19999999999999996,0.5320811694997682,0.7024029574861368,0.6502926171748367,0.6284708711521062,0.8472727272727273,0.3977055449330784,0.7473937449879712,0.5531914893617021,0.6852637820130014,0.3793244553442949,932,315,168,208,0.6457178065311152,0.6375535327338805,0.5938489700047307,0.8514644351464435,0.35082458770614694,0.652766639935846,0.6223404255319149,0.6852637820130014,0.3793244553442949,814,433,142,234
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p75,coch_raw_pca64_rf,0.75,0.25,0.5228717933490927,0.7048675292667899,0.6481811667150097,0.6284626556740407,0.8453237410071942,0.39921722113502933,0.7538091419406576,0.5425531914893617,0.6857543210087188,0.3817335740069535,940,307,172,204,0.6722119531731362,0.6445778378747291,0.6107324093009164,0.8501469147894222,0.3704318936877076,0.6960705693664796,0.5930851063829787,0.6857543210087188,0.3817335740069535,868,379,153,223
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p85,coch_raw_pca64_rf,0.85,0.15000000000000002,0.5270880808600982,0.6999383857054837,0.6524040676346636,0.6284286510106079,0.8492647058823529,0.39626168224299063,0.7409783480352847,0.5638297872340425,0.6845365046323943,0.3805600003794837,924,323,164,212,0.6555760936537277,0.6383959801395691,0.5993503984384833,0.8495934959349594,0.3568075117370892,0.6704089815557338,0.6063829787234043,0.6845365046323943,0.3805600003794837,836,411,148,228
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p85,coch_raw_pca64_xgb,0.85,0.15000000000000002,0.5365780213084791,0.7024029574861368,0.6484349673258374,0.6274453519125346,0.8460144927536232,0.3969171483622351,0.7489975942261428,0.5478723404255319,0.684662338548687,0.37936363385336697,934,313,170,206,0.6438693776956254,0.635421820880752,0.5919357532859365,0.8502617801047121,0.34880239520958084,0.6511627906976745,0.6196808510638298,0.684662338548687,0.37936363385336697,812,435,143,233
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p75,coch_raw_pca64_xgb,0.75,0.25,0.5292223901566818,0.7011706715958103,0.6494906925557509,0.6274430921340657,0.8469945355191257,0.3961904761904762,0.7457898957497995,0.5531914893617021,0.6857628521216877,0.3793214421326783,930,317,168,208,0.6487985212569316,0.6377006944325957,0.5955286969965128,0.8507772020725388,0.3525835866261398,0.6583801122694467,0.6170212765957447,0.6857628521216877,0.3793214421326783,821,426,144,232
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p90,coch_raw_pca64_rf,0.9,0.09999999999999998,0.5347498771788484,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6842635090173864,0.38013038134676663,931,316,169,207,0.6463339494762785,0.636096845194424,0.5935248596799866,0.850156087408949,0.3504531722054381,0.6551724137931034,0.6170212765957447,0.6842635090173864,0.38013038134676663,817,430,144,232
