candidate_key,coch_model,alpha_wst,weight_coch,threshold_oof,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p65,coch_summary_recording_lr,0.65,0.35,0.6007299245734123,0.7455329636475663,0.6272746079953591,0.631078097850585,0.82578125,0.446064139941691,0.8476343223736968,0.40691489361702127,0.6721962497227388,0.38011576614692866,1057,190,223,153,0.6383240911891559,0.613236661604873,0.5788290070551704,0.834685598377282,0.33437990580847726,0.6599839615076183,0.5664893617021277,0.6721962497227388,0.38011576614692866,823,424,163,213
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p75,coch_summary_recording_lr,0.75,0.25,0.5825211395023473,0.7338262476894639,0.6308022232080397,0.6295789113317357,0.8294260307194826,0.4274611398963731,0.8227746591820368,0.43882978723404253,0.6789614223071542,0.38354534281683306,1026,221,211,165,0.6475662353666051,0.6294681704175127,0.5911262618254849,0.8447395301327886,0.34782608695652173,0.6631916599839615,0.5957446808510638,0.6789614223071542,0.38354534281683306,827,420,152,224
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p70,coch_summary_recording_lr,0.7,0.30000000000000004,0.580140530893686,0.7332101047443007,0.6285436110494975,0.6277035843302168,0.8282258064516129,0.4255874673629243,0.8235765838011226,0.43351063829787234,0.6759435410943712,0.38201296902347515,1027,220,213,163,0.640788662969809,0.6176269856165435,0.582148984417953,0.8373983739837398,0.3380281690140845,0.6607858861267041,0.574468085106383,0.6759435410943712,0.38201296902347515,824,423,160,216
late_fusion__wst_lr__none__alpha1p00,coch_summary_recording_lr,1.0,0.0,0.5451205938234057,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p95,coch_summary_recording_lr,0.95,0.050000000000000044,0.5405305526423729,0.6993222427603204,0.6473589807026224,0.6253944590330173,0.845943482224248,0.3935361216730038,0.7441860465116279,0.550531914893617,0.6836407377706496,0.38090032367015614,928,319,169,207,0.6414048059149723,0.6347467965670801,0.5903434816549571,0.8503688092729189,0.34718100890207715,0.6471531676022454,0.6223404255319149,0.6836407377706496,0.38090032367015614,807,440,142,234
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p80,coch_summary_recording_lr,0.8,0.19999999999999996,0.5905904040185284,0.7344423906346272,0.6247014110460851,0.6252782237392949,0.8258785942492013,0.42587601078167114,0.8291900561347233,0.42021276595744683,0.6812690883652681,0.38385582018021586,1034,213,218,158,0.6469500924214417,0.633711332730468,0.5927690795278642,0.8481404958677686,0.34961832061068704,0.6583801122694467,0.6090425531914894,0.6812690883652681,0.38385582018021586,821,426,147,229
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p60,coch_summary_recording_lr,0.6,0.4,0.6004429632297699,0.7387553912507702,0.6210063727413878,0.6238619965892693,0.8232521602513747,0.43142857142857144,0.8404170008019246,0.4015957446808511,0.668239946083366,0.3769715480821889,1048,199,225,151,0.6333949476278496,0.6091001382040301,0.5744593187453648,0.8326530612244898,0.3297045101088647,0.6543704891740176,0.5638297872340425,0.668239946083366,0.3769715480821889,816,431,164,212
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p85,coch_summary_recording_lr,0.85,0.15000000000000002,0.5610018500384717,0.7159581022797289,0.6303202153252914,0.6223609663523052,0.8319256756756757,0.4031890660592255,0.7898957497995188,0.47074468085106386,0.683037161528093,0.3841559955490052,985,262,199,177,0.6438693776956254,0.6307776962582539,0.58985190677892,0.8466321243523316,0.3465045592705167,0.6551724137931034,0.6063829787234043,0.683037161528093,0.3841559955490052,817,430,148,228
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p90,coch_summary_recording_lr,0.9,0.09999999999999998,0.5638371434566979,0.7147258163894024,0.6304471156307052,0.6219529680592721,0.8322033898305085,0.4018058690744921,0.7874899759422614,0.4734042553191489,0.6838476172601478,0.38270177916073567,982,265,198,178,0.6432532347504621,0.6359496834957088,0.5918449516646666,0.8508403361344538,0.34873323397913564,0.6495589414595028,0.6223404255319149,0.6838476172601478,0.38270177916073567,810,437,142,234
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p55,coch_summary_recording_lr,0.55,0.44999999999999996,0.605021044118284,0.7344423906346272,0.6135555119520892,0.6165221867532396,0.8197492163009404,0.4207492795389049,0.838813151563753,0.3882978723404255,0.6642729785527819,0.37365243582663216,1046,201,230,146,0.6272335181762169,0.6041616901841014,0.5691301072046191,0.8302469135802469,0.3241167434715822,0.6471531676022454,0.5611702127659575,0.6642729785527819,0.37365243582663216,807,440,165,211
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p50,coch_summary_recording_lr,0.5,0.5,0.6179192390037682,0.7399876771410967,0.6097335733419782,0.6148976892939234,0.8170637970791699,0.42857142857142855,0.8524458700882117,0.3670212765957447,0.660212168779539,0.3708736996571177,1063,184,238,138,0.6260012322858903,0.6042885904895152,0.5686052901804775,0.8305785123966942,0.3236641221374046,0.644747393744988,0.5638297872340425,0.660212168779539,0.3708736996571177,804,443,164,212
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p45,coch_summary_recording_lr,0.45,0.55,0.6146767296452054,0.7362908194701171,0.6091854493337201,0.6134217520802447,0.8171959721146398,0.42168674698795183,0.8460304731355253,0.3723404255319149,0.6555008616424098,0.3658061141892034,1055,192,236,140,0.6210720887245841,0.5973655923151735,0.5629196926869746,0.8264462809917356,0.31755725190839695,0.6415396952686447,0.5531914893617021,0.6555008616424098,0.3658061141892034,800,447,168,208
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p40,coch_summary_recording_lr,0.4,0.6,0.6200756573684965,0.738139248305607,0.6085306864133495,0.6133645732030302,0.8166409861325116,0.4246153846153846,0.8500400962309543,0.3670212765957447,0.6507682267228582,0.36062442756657087,1060,187,238,138,0.6136783733826248,0.5897675698271596,0.555766211077415,0.8222453222453222,0.3101361573373676,0.6343223736968725,0.5452127659574468,0.6507682267228582,0.36062442756657087,791,456,171,205
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p35,coch_summary_recording_lr,0.35,0.65,0.6241912977367632,0.7350585335797906,0.6046682250166356,0.6092196151158416,0.8149575944487278,0.4171779141104294,0.8476343223736968,0.3617021276595745,0.6459566790083434,0.35513272883224384,1057,190,240,136,0.6142945163277881,0.5892397072122029,0.5557911654733632,0.8217616580310881,0.3100303951367781,0.6359262229350441,0.5425531914893617,0.6459566790083434,0.35513272883224384,793,454,172,204
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p30,coch_summary_recording_lr,0.3,0.7,0.6101871667491099,0.7208872458410351,0.6010190414441469,0.6023979886790187,0.8145800316957211,0.39335180055401664,0.8243785084202085,0.3776595744680851,0.6410342268252316,0.35003188374958966,1028,219,234,142,0.6124460874922982,0.5852503455100753,0.5529698970733448,0.8192148760330579,0.3068702290076336,0.6359262229350441,0.5345744680851063,0.6410342268252316,0.35003188374958966,793,454,175,201
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p25,coch_summary_recording_lr,0.25,0.75,0.5985484148669311,0.7048675292667899,0.5970957958675288,0.5947603566072582,0.8142389525368249,0.371571072319202,0.7979149959903769,0.3962765957446808,0.6363847702571278,0.3448350027658,995,252,227,149,0.6112138016019717,0.5816619461174904,0.5506133845390324,0.8168724279835391,0.30414746543778803,0.6367281475541299,0.526595744680851,0.6363847702571278,0.3448350027658,794,453,178,198
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p20,coch_summary_recording_lr,0.2,0.8,0.5988854403062728,0.7005545286506469,0.5924314098517293,0.5899213924761371,0.8121410992616899,0.36386138613861385,0.7939053728949479,0.39095744680851063,0.6317353136890239,0.33974914365478337,990,257,229,147,0.6112138016019717,0.5807331211929908,0.5501419927301479,0.8162217659137577,0.3035439137134052,0.6375300721732157,0.523936170212766,0.6317353136890239,0.33974914365478337,795,452,179,197
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p15,coch_summary_recording_lr,0.15,0.85,0.6264312415133908,0.7134935304990758,0.5850615946356362,0.5870850374098948,0.8069073783359497,0.37249283667621774,0.8243785084202085,0.34574468085106386,0.626838454844819,0.33309404421588845,1028,219,246,130,0.6105976586568084,0.577545684109949,0.5482374081708155,0.8140960163432074,0.30124223602484473,0.6391339214113874,0.5159574468085106,0.626838454844819,0.33309404421588845,797,450,182,194
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p10,coch_summary_recording_lr,0.1,0.9,0.632667002186523,0.7122612446087492,0.5833308450920507,0.5853090590761739,0.8061224489795918,0.36962750716332377,0.8235765838011226,0.34308510638297873,0.6223553549796107,0.32855581507894704,1027,220,247,129,0.6124460874922982,0.5768909211895783,0.5486941148853529,0.8133874239350912,0.30141287284144425,0.6431435445068163,0.5106382978723404,0.6223553549796107,0.32855581507894704,802,445,184,192
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p05,coch_summary_recording_lr,0.05,0.95,0.6239843525863915,0.7017868145409735,0.5830162603013189,0.5827054248740995,0.8069187449718423,0.35789473684210527,0.8043303929430633,0.3617021276595745,0.6176867034073266,0.3251149900557787,1003,244,240,136,0.6136783733826248,0.5776928458086642,0.5496425228526478,0.8137651821862348,0.30236220472440944,0.644747393744988,0.5106382978723404,0.6176867034073266,0.3251149900557787,804,443,184,192
late_fusion__wst_lr__coch_summary_recording_lr__alpha0p00,coch_summary_recording_lr,0.0,1.0,0.6233847647742679,0.6993222427603204,0.582341235987647,0.5815613628006644,0.8067906224737268,0.3549222797927461,0.8003207698476343,0.36436170212765956,0.613408350253374,0.3198902773355178,998,249,239,137,0.6118299445471349,0.5746323090310361,0.5472422465860182,0.8119312436804853,0.2996845425867508,0.6439454691259021,0.5053191489361702,0.613408350253374,0.3198902773355178,803,444,186,190
