policy,candidate_key,alpha_wst,weight_cnn,threshold_oof,combined_model_size_kb,oof__accuracy,oof__balanced_accuracy,oof__macro_f1,oof__dry_precision,oof__wet_precision,oof__dry_recall,oof__wet_recall,oof__roc_auc,oof__average_precision_wet,oof__tn_dry_correct,oof__fp_dry_as_wet,oof__fn_wet_as_dry,oof__tp_wet_correct
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p00,0.0,1.0,0.5510583445429802,128.57421875,0.7091805298829328,0.6175502055998225,0.6111201358035722,0.8253568429890848,0.3888888888888889,0.7882919005613472,0.44680851063829785,0.6838092272517872,0.37696669182243353,983,264,208,168
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p05,0.05,0.95,0.5601476476839766,1089.7099609375,0.7233518176216882,0.6193417393233122,0.6174285874781409,0.824390243902439,0.4071246819338422,0.8131515637530072,0.425531914893617,0.6897895374430548,0.3841402200046906,1014,233,216,160
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p10,0.1,0.9,0.5713276007591271,1089.7099609375,0.7375231053604436,0.6183467982733027,0.6213443246393067,0.8219607843137255,0.4281609195402299,0.8404170008019246,0.3962765957446808,0.6949871180194169,0.39080653386940256,1048,199,227,149
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p15,0.15,0.85,0.5484850770272629,1089.7099609375,0.7165742452248922,0.6325788274838335,0.6240982345335391,0.8331922099915327,0.40497737556561086,0.789093825180433,0.47606382978723405,0.6995363340101349,0.39664837741178866,984,263,197,179
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p20,0.2,0.8,0.5406880638278362,1089.7099609375,0.7085643869377696,0.6375833916292719,0.6239133384838251,0.837696335078534,0.39832285115303984,0.7698476343223737,0.5053191489361702,0.7030596836663312,0.4009145307909646,960,287,186,190
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p25,0.25,0.75,0.5838924156427663,1089.7099609375,0.7535428219346888,0.621341218925421,0.6287417479103856,0.8215641609719059,0.46078431372549017,0.867682437850842,0.375,0.7057661792557457,0.4037237705230001,1082,165,235,141
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p30,0.3,0.7,0.5766959605067838,1089.7099609375,0.7486136783733827,0.6283505946185739,0.6329780158385286,0.8259518259518259,0.4523809523809524,0.8524458700882117,0.40425531914893614,0.7073081779248921,0.40564332493334376,1063,184,224,152
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p35,0.35,0.65,0.5749472549246547,1089.7099609375,0.7461491065927295,0.6304620450784009,0.633788407867123,0.8274509803921568,0.4482758620689655,0.8460304731355253,0.4148936170212766,0.7079544097322938,0.40610717630677057,1055,192,220,156
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p40,0.4,0.6,0.5673290279912744,1089.7099609375,0.7350585335797906,0.6325329727516251,0.631293823779274,0.8302344381568311,0.43005181347150256,0.8235765838011226,0.44148936170212766,0.7081079697657358,0.4059511416251108,1027,220,210,166
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p45,0.45,0.55,0.5601245213438817,1089.7099609375,0.7301293900184843,0.6376846985957788,0.6329843915857472,0.8340214698596201,0.42475728155339804,0.809943865276664,0.4654255319148936,0.7077581941340068,0.40524963266480496,1010,237,201,175
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p50,0.5,0.5,0.553213102609531,1089.7099609375,0.7239679605668515,0.6392480250473477,0.631502767134951,0.8359966358284272,0.41705069124423966,0.7971130713712911,0.48138297872340424,0.7069733317408589,0.4042105586039387,994,253,195,181
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p55,0.55,0.44999999999999996,0.5763669636493338,1089.7099609375,0.7369069624152803,0.6263052602842567,0.6273537703611656,0.8264331210191083,0.4305177111716621,0.8323977546110666,0.42021276595744683,0.7056723370130867,0.4024154815787388,1038,209,218,158
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p60,0.6,0.4,0.5709527937946024,1089.7099609375,0.7301293900184843,0.6246811496527838,0.6237487826565609,0.8264729620661824,0.4192708333333333,0.8211708099438653,0.42819148936170215,0.7040258322100701,0.4008915718407676,1024,223,215,161
