policy,fold,selection_rows,held_rows,selected_alpha_wst,selected_weight_cnn,selected_threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
max_macro_f1,0,1298,325,0.45,0.55,0.5186191194079655,0.6276923076923077,0.6381843162122174,0.5852187028657617,0.8555555555555555,0.3448275862068966,0.6184738955823293,0.6578947368421053,0.6827309236947791,0.41683136828358225,154,95,26,50
max_macro_f1,1,1298,325,0.35,0.65,0.5776235841477451,0.7138461538461538,0.5433333333333333,0.5449481338733232,0.7875457875457875,0.3269230769230769,0.86,0.22666666666666666,0.6390933333333334,0.3516961265974044,215,35,58,17
max_macro_f1,2,1299,324,0.3,0.7,0.5766959605067838,0.7592592592592593,0.6057831325301205,0.6157635467980296,0.8131868131868132,0.47058823529411764,0.891566265060241,0.32,0.7040963855421687,0.3836603842886527,222,27,51,24
max_macro_f1,3,1298,325,0.35,0.65,0.5819027267827337,0.7661538461538462,0.6426666666666667,0.6504189311594203,0.8320610687022901,0.49206349206349204,0.872,0.41333333333333333,0.7691733333333334,0.44822194597634185,218,32,44,31
max_macro_f1,4,1299,324,0.45,0.55,0.5584717434215059,0.7160493827160493,0.656867469879518,0.6385857704059363,0.8488888888888889,0.41414141414141414,0.7670682730923695,0.5466666666666666,0.7429183400267738,0.48761272563615465,191,58,34,41
max_macro_f1_wet_recall_ge_0p55,0,1298,325,0.45,0.55,0.5186191194079655,0.6276923076923077,0.6381843162122174,0.5852187028657617,0.8555555555555555,0.3448275862068966,0.6184738955823293,0.6578947368421053,0.6827309236947791,0.41683136828358225,154,95,26,50
max_macro_f1_wet_recall_ge_0p55,1,1298,325,0.25,0.75,0.5382922390751146,0.6676923076923077,0.5646666666666667,0.559620596205962,0.8008474576271186,0.3146067415730337,0.756,0.37333333333333335,0.6378666666666666,0.34556272276203787,189,61,47,28
max_macro_f1_wet_recall_ge_0p55,2,1299,324,0.45,0.55,0.5250849777575942,0.7160493827160493,0.6242570281124498,0.6182377049180328,0.8284518828451883,0.4,0.7951807228915663,0.4533333333333333,0.7106827309236948,0.3941826717599798,198,51,41,34
max_macro_f1_wet_recall_ge_0p55,3,1298,325,1.0,0.0,0.5451205938234057,0.7169230769230769,0.6526666666666667,0.6363238299114528,0.8464912280701754,0.41237113402061853,0.772,0.5333333333333333,0.71408,0.3866948435327706,193,57,35,40
max_macro_f1_wet_recall_ge_0p55,4,1299,324,0.95,0.050000000000000044,0.5410465764734216,0.691358024691358,0.6547791164658634,0.6253469010175763,0.8530805687203792,0.3893805309734513,0.7228915662650602,0.5866666666666667,0.7262650602409639,0.4721547376597713,180,69,31,44
