candidate_key,coch_model,alpha_wst,weight_coch,threshold_oof,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p70,mfcc117_recording_lr,0.7,0.30000000000000004,0.5752281579628423,0.729513247073321,0.6372837362862359,0.6324631571779861,0.8338842975206612,0.423728813559322,0.8091419406575782,0.4654255319148936,0.6839307956115955,0.3832269930279516,1009,238,201,175,0.6580406654343808,0.6399998293777407,0.6013582140083246,0.8502024291497976,0.3590551181102362,0.673616680032077,0.6063829787234043,0.6839307956115955,0.3832269930279516,840,407,148,228
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p65,mfcc117_recording_lr,0.65,0.35,0.5839120358338761,0.7332101047443007,0.6331877356719957,0.6310614217773609,0.8308943089430895,0.42748091603053434,0.8195669607056937,0.44680851063829785,0.6810835366581924,0.38088320433450346,1022,225,208,168,0.6531115218730745,0.6340056561278984,0.5960489454379232,0.8468559837728195,0.3532182103610675,0.6696070569366479,0.598404255319149,0.6810835366581924,0.38088320433450346,835,412,151,225
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p60,mfcc117_recording_lr,0.6,0.4,0.577620692259603,0.7282809611829945,0.6346241618181507,0.6301515114717453,0.8325082508250825,0.4209245742092457,0.8091419406575782,0.4601063829787234,0.6777670664914944,0.3782783779266985,1009,238,203,173,0.6506469500924215,0.6314729819652272,0.5936165937649731,0.8455284552845529,0.350547730829421,0.6672012830793905,0.5957446808510638,0.6777670664914944,0.3782783779266985,832,415,152,224
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p75,mfcc117_recording_lr,0.75,0.25,0.5812600215542757,0.7325939617991374,0.6309291235134535,0.629210182767624,0.829683698296837,0.4256410256410256,0.8203688853247795,0.44148936170212766,0.6858225699124708,0.38508685914377244,1023,224,210,166,0.6623536660505237,0.6493083400160384,0.607864542366664,0.8562691131498471,0.3660436137071651,0.673616680032077,0.625,0.6858225699124708,0.38508685914377244,840,407,141,235
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p80,mfcc117_recording_lr,0.8,0.19999999999999996,0.5704868538309753,0.7245841035120147,0.6340760378098926,0.6283116607654367,0.8327787021630616,0.4156769596199525,0.8027265437048917,0.4654255319148936,0.6870873074101247,0.38577278616648625,1001,246,201,175,0.6611213801601972,0.6540793649439506,0.6093175563538581,0.860392967942089,0.3673780487804878,0.6672012830793905,0.6409574468085106,0.6870873074101247,0.38577278616648625,832,415,135,241
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p85,mfcc117_recording_lr,0.85,0.15000000000000002,0.5757569162447423,0.7270486752926679,0.631035762425566,0.6271826869080008,0.8305921052631579,0.4176904176904177,0.809943865276664,0.4521276595744681,0.6874776058284563,0.3843235387145679,1010,237,206,170,0.6592729513247073,0.6528764780153219,0.607793706041597,0.8599585062240664,0.36570561456752654,0.6647955092221332,0.6409574468085106,0.6874776058284563,0.3843235387145679,829,418,135,241
late_fusion__wst_lr__none__alpha1p00,mfcc117_recording_lr,1.0,0.0,0.5451205938234057,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p95,mfcc117_recording_lr,0.95,0.050000000000000044,0.5342512456011597,0.6950092421441775,0.6538404937808187,0.6267653367513855,0.8514018691588785,0.3924050632911392,0.7305533279871692,0.5771276595744681,0.6856498148748487,0.3807182952117452,911,336,159,217,0.6451016635859519,0.6399390451978365,0.5945667447306792,0.8535300316122234,0.3516320474777448,0.6495589414595028,0.6303191489361702,0.6856498148748487,0.3807182952117452,810,437,139,237
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p90,mfcc117_recording_lr,0.9,0.09999999999999998,0.5357822323815016,0.6956253850893407,0.6495973314678634,0.6248371628147249,0.8482886216466234,0.39114391143911437,0.7353648757016841,0.5638297872340425,0.6870019962804348,0.38246532423010227,917,330,164,212,0.6531115218730745,0.6470092050708935,0.6019225365458383,0.8569937369519833,0.3593984962406015,0.6583801122694467,0.6356382978723404,0.6870019962804348,0.38246532423010227,821,426,137,239
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p55,mfcc117_recording_lr,0.55,0.44999999999999996,0.5974757824934349,0.7375231053604436,0.6220620979713014,0.6242908564497829,0.823993685872139,0.4297752808988764,0.8372093023255814,0.40691489361702127,0.673864082308178,0.3733645667196937,1044,203,223,153,0.6506469500924215,0.6342594567387261,0.5949153176550859,0.8476482617586912,0.351937984496124,0.6647955092221332,0.6037234042553191,0.673864082308178,0.3733645667196937,829,418,149,227
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p50,mfcc117_recording_lr,0.5,0.5,0.5907177190794327,0.7282809611829945,0.6234782627241551,0.6222053080211494,0.8260517799352751,0.4160206718346253,0.8187650360866079,0.42819148936170215,0.6697200941834872,0.36902644312066696,1021,226,215,161,0.6481823783117683,0.6326556075005545,0.592917714499072,0.8470225872689938,0.349768875192604,0.6615878107457899,0.6037234042553191,0.6697200941834872,0.36902644312066696,825,422,149,227
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p45,mfcc117_recording_lr,0.45,0.55,0.5902850079037822,0.718422674060382,0.6170628657714685,0.6140526060819246,0.8237704918032787,0.39950372208436724,0.805934242181235,0.42819148936170215,0.665239127096521,0.36486268976041214,1005,242,215,161,0.6475662353666051,0.6322546451910116,0.5924187345239976,0.8468653648509764,0.34923076923076923,0.6607858861267041,0.6037234042553191,0.665239127096521,0.36486268976041214,824,423,149,227
late_fusion__wst_lr__mfcc117_recording_lr__alpha0p40,mfcc117_recording_lr,0.4,0.6,0.5356014415976174,0.6814540973505854,0.63108694910338,0.6081440229764281,0.8385899814471243,0.3706422018348624,0.7249398556535686,0.5372340425531915,0.6601012643109421,0.36000489566771876,904,343,174,202,0.6438693776956254,0.627991221484755,0.5885740299565283,0.8444902162718847,0.3450920245398773,0.6575781876503609,0.598404255319149,0.6601012643109421,0.36000489566771876,820,427,151,225
